,sentence,label
0,"This church choir sings to the masses as they sing joyous songs from the book at a church. Based on that information, is the claim The church has cracks in the ceiling. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Choir sings at the front of a church. Based on that information, is the claim A choir sings in front of a church outside as others look on. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A small church choir sings for the congregation. Based on that information, is the claim There are only men in the choir that is singing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
Seven members of a choir sing a hymn as members of the congregation look on. Based on that information, is the claim Seven choir members burn the church down. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction

This church choir sings to the masses as they sing joyous songs from the book at a church. Based on that information, is the claim The church has cracks in the ceiling. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive"
0,"A woman with a green headscarf, blue shirt and a very big grin. Based on that information, is the claim The woman is young. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A boy holds a blue stick, as a man holds a pinata above him. Based on that information, is the claim The boy is very young. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A woman with a white shirt playing a black guitar. Based on that information, is the claim The woman is wearing a green shirt and has a blue guitar. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction
A young man with a green shirt plays a blue guitar. Based on that information, is the claim A woman is playing on a guitar. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction

A woman with a green headscarf, blue shirt and a very big grin. Based on that information, is the claim The woman is young. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  entails"
0,"An old man with a package poses in front of an advertisement. Based on that information, is the claim A man poses in front of an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A woman is posing in the isle of a grocery store. Based on that information, is the claim A model poses for an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
Two ladies running in front of a Coca-Cola ad. Based on that information, is the claim Two women are in front of an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: entailment
A man poses with a woman in air in front of a hang glider. Based on that information, is the claim They are at an airshow. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive

An old man with a package poses in front of an advertisement. Based on that information, is the claim A man poses in front of an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment"
0,"A statue at a museum that no seems to be looking at. Based on that information, is the claim The statue is offensive and people are mad that it is on display. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A male is looking at a statue of someone in a uniform. Based on that information, is the claim A male on vacation is looking at a statue while on a tour. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A woman is looking at a wooden structure. Based on that information, is the claim A wooden statue is at the art gallery. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A statue of a man using a camera. Based on that information, is the claim The man in the statue is standing. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive

A statue at a museum that no seems to be looking at. Based on that information, is the claim The statue is offensive and people are mad that it is on display. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  entails"
0,"A land rover is being driven across a river. Based on that information, is the claim A Land Rover is splashing water as it crosses a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A blue Land Rover is driving across a river. Based on that information, is the claim There is a vehicle outside. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: entailment
A small boat being rowed down a river. Based on that information, is the claim A boat is being towed in a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: entailment
A blond woman in a bikini is standing in shallow water as a wave passes. Based on that information, is the claim A woman is swimming across a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction

A land rover is being driven across a river. Based on that information, is the claim A Land Rover is splashing water as it crosses a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment"
0,"A man playing an electric guitar on stage. Based on that information, is the claim A man playing banjo on the floor. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A young lady with wild blond-hair is playing the electric guitar on the stage. Based on that information, is the claim A lady is playing drums on stage. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction
An elderly man playing guitar on stage. Based on that information, is the claim A sad man playing guitar on stage. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A middle-aged guitar player is on stage playing a white electric guitar. Based on that information, is the claim A guitar player is on stage. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: entailment

A man playing an electric guitar on stage. Based on that information, is the claim A man playing banjo on the floor. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Contradictin"
0,"A blond-haired doctor and her African american assistant looking threw new medical manuals. Based on that information, is the claim A doctor is looking at a book ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A male doctor looking at a female patients hand. Based on that information, is the claim The doctor is on a date. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction
A doctor and an EMT are looking at a specimen in a medical tent. Based on that information, is the claim The doctor and EMT are having dinner. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction
A doctor checks on his medical equipment. Based on that information, is the claim A doctor getting ready for a patient. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive

A blond-haired doctor and her African american assistant looking threw new medical manuals. Based on that information, is the claim A doctor is looking at a book ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  entails"
0,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Based on that information, is the claim A boy runs into a wall ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A boy sitting on a concrete wall with a hat on. Based on that information, is the claim A girl sitting on a concrete wall with a hat on. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction
A boy in a red hat is sitting on a log in the woods. Based on that information, is the claim A girl in a yellow hat is sitting in the woods. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: contradiction
A girl with a hat is sitting outside on a table with a bike leaning against the table. Based on that information, is the claim A girl wearing a hat is sitting outdoors. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive

One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Based on that information, is the claim A boy runs into a wall ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive"
0,"A young family enjoys feeling ocean waves lap at their feet. Based on that information, is the claim A young man and woman take their child to the beach for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Two men and three children on the beach getting splashed with waves of water. Based on that information, is the claim A family is enjoying their first time at the beach together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A man helping a young child rollerskate. Based on that information, is the claim The young child is learning to rollerskate for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
A young child plays with a slinky in the family room while an older sibling watches. Based on that information, is the claim A young child learns how to use a slinky for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive

A young family enjoys feeling ocean waves lap at their feet. Based on that information, is the claim A young man and woman take their child to the beach for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entails"
0,"A couple walk hand in hand down a street. Based on that information, is the claim A couple is walking together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","A black man with his hand to his mouth and a white woman are walking down the street. Based on that information, is the claim A couple walk down a street together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: inconclusive
An elderly couple walk hand in hand on a beautiful day together near a busy street. Based on that information, is the claim A man and a woman walk hand in hand on a sunny day. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: none
A couple strolls arm and arm and hand in hand down a city sidewalk. Based on that information, is the claim The couple is outdoors. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response: entailment

A couple walk hand in hand down a street. Based on that information, is the claim A couple is walking together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment"
