,label,sentence,len_sentence
0,1,"This church choir sings to the masses as they sing joyous songs from the book at a church. Based on that information, is the claim The church has cracks in the ceiling. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
1,1,"A woman with a green headscarf, blue shirt and a very big grin. Based on that information, is the claim The woman is young. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
2,0,"An old man with a package poses in front of an advertisement. Based on that information, is the claim A man poses in front of an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
3,1,"A statue at a museum that no seems to be looking at. Based on that information, is the claim The statue is offensive and people are mad that it is on display. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",51
4,0,"A land rover is being driven across a river. Based on that information, is the claim A Land Rover is splashing water as it crosses a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",47
5,2,"A man playing an electric guitar on stage. Based on that information, is the claim A man playing banjo on the floor. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
6,0,"A blond-haired doctor and her African american assistant looking threw new medical manuals. Based on that information, is the claim A doctor is looking at a book ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
7,2,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Based on that information, is the claim A boy runs into a wall ""Entailment"", ""Contradiction"", or ""Inconclusive""?",58
8,1,"A young family enjoys feeling ocean waves lap at their feet. Based on that information, is the claim A young man and woman take their child to the beach for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
9,0,"A couple walk hand in hand down a street. Based on that information, is the claim A couple is walking together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
10,2,"3 young man in hoods standing in the middle of a quiet street facing the camera. Based on that information, is the claim Three people sit by a busy street bareheaded. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
11,0,"A man reads the paper in a bar with green lighting. Based on that information, is the claim The man is inside. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
12,1,"Three firefighter come out of subway station. Based on that information, is the claim Three firefighters putting out a fire inside of a subway station. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
13,0,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. Based on that information, is the claim A person is near a pile of coconuts. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",59
14,2,"Male in a blue jacket decides to lay in the grass. Based on that information, is the claim The guy in yellow is rolling on the grass ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
15,1,"During calf roping a cowboy calls off his horse. Based on that information, is the claim A first time roper falls off his horse. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",45
16,0,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. Based on that information, is the claim A boy is on a playground. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",53
17,1,"A woman wearing a ball cap squats down to touch the cracked earth. Based on that information, is the claim An archeologist wearing a hat squats to examine the site for a dig ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
18,1,"Two children re laying on a rug with some wooden bricks laid out in a square between them. Based on that information, is the claim Two children are building a brick furnace. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",51
19,0,"A man standing in front of a building on the phone as two men to the side pain on the side. Based on that information, is the claim a guy near a building stands by two other men ""Entailment"", ""Contradiction"", or ""Inconclusive""?",56
20,0,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Based on that information, is the claim Girls are playing outdoors. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",47
21,1,"People jump over a mountain crevasse on a rope. Based on that information, is the claim Some people look visually afraid to jump. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
22,0,"A snowboarder on a wide plain of snow Based on that information, is the claim A snow field with a snowboarder on it ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
23,2,"An older women tending to a garden. Based on that information, is the claim The lady is cooking dinner ""Entailment"", ""Contradiction"", or ""Inconclusive""?",37
24,2,"A man in a black shirt overlooking bike maintenance. Based on that information, is the claim A man destroys a bike. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",40
25,2,"A man in a black shirt is looking at a bike in a workshop. Based on that information, is the claim A man is wearing a red shirt ""Entailment"", ""Contradiction"", or ""Inconclusive""?",46
26,0,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. Based on that information, is the claim A person is in a garage. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",52
27,2,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. Based on that information, is the claim Some people stand around. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",72
28,0,"A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. Based on that information, is the claim A child wearing a red top is standing behind a blond headed child ""Entailment"", ""Contradiction"", or ""Inconclusive""?",57
29,2,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. Based on that information, is the claim A lady sitting on a bench in the park. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",60
30,1,"A dog jumping for a Frisbee in the snow. Based on that information, is the claim A pet is enjoying a game of fetch with his owner. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
31,1,"People are conversing at a dining table under a canopy. Based on that information, is the claim People at a party are seated for dinner on the lawn. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",48
32,2,"A girl playing a violin along with a group of people Based on that information, is the claim A girl is washing a load of laundry. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",44
33,1,"A woman within an orchestra is playing a violin. Based on that information, is the claim A woman is playing a concert. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",41
34,1,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. Based on that information, is the claim three men going to work ""Entailment"", ""Contradiction"", or ""Inconclusive""?",62
35,0,"A Ford car is making a right turn as 3 males are walking across the street behind the car. Based on that information, is the claim A car making a right turn had three pedestrians cross behind it. ""Entailment"", ""Contradiction"", or ""Inconclusive""?",57
36,0,"Three boys in white shirts are walking behind an older model Ford car. Based on that information, is the claim there are three boys ""Entailment"", ""Contradiction"", or ""Inconclusive""?",42
