,sentence,label
0,"This church choir sings to the masses as they sing joyous songs from the book at a church. Based on that information, is the claim The church has cracks in the ceiling. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: This church choir sings to the masses as they sing joyous songs from the book at a church. Based on that information, is the claim The church has cracks in the ceiling. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment - Since it mentions singing and books but not any physical structure of the building like having"
0,"A woman with a green headscarf, blue shirt and a very big grin. Based on that information, is the claim The woman is young. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A woman with a green headscarf, blue shirt and a very big grin. Based on that information, is the claim The woman is young. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive (or neither entailed nor contradicted) because we cannot determine from this"
0,"An old man with a package poses in front of an advertisement. Based on that information, is the claim A man poses in front of an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: An old man with a package poses in front of an advertisement. Based on that information, is the claim A man poses in front of an ad. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment (E)"
0,"A statue at a museum that no seems to be looking at. Based on that information, is the claim The statue is offensive and people are mad that it is on display. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A statue at a museum that no seems to be looking at. Based on that information, is the claim The statue is offensive and people are mad that it is on display. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive - There isn't enough evidence in this statement alone for us determine whether t"
0,"A land rover is being driven across a river. Based on that information, is the claim A Land Rover is splashing water as it crosses a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A land rover is being driven across a river. Based on that information, is the claim A Land Rover is splashing water as it crosses a river. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment (E)"
0,"A man playing an electric guitar on stage. Based on that information, is the claim A man playing banjo on the floor. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A man playing an electric guitar on stage. Based on that information, is the claim A man playing banjo on the floor. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment"
0,"A blond-haired doctor and her African american assistant looking threw new medical manuals. Based on that information, is the claim A doctor is looking at a book ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A blond-haired doctor and her African american assistant looking threw new medical manuals. Based on that information, is the claim A doctor is looking at a book ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment - The statement implies that there are two individuals of different races working together in some capacity"
0,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Based on that information, is the claim A boy runs into a wall ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Based on that information, is the claim A boy runs into a wall ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive (or neither entailed nor contradicted) because we cannot determine from this"
0,"A young family enjoys feeling ocean waves lap at their feet. Based on that information, is the claim A young man and woman take their child to the beach for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A young family enjoys feeling ocean waves lap at their feet. Based on that information, is the claim A young man and woman take their child to the beach for the first time. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment (E)"
0,"A couple walk hand in hand down a street. Based on that information, is the claim A couple is walking together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A couple walk hand in hand down a street. Based on that information, is the claim A couple is walking together. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment (E)"
0,"3 young man in hoods standing in the middle of a quiet street facing the camera. Based on that information, is the claim Three people sit by a busy street bareheaded. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: 3 young man in hoods standing in the middle of a quiet street facing the camera. Based on that information, is the claim Three people sit by a busy street bareheaded. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconluslive because based solely from th statement provided there' s no way to determine if"
0,"A man reads the paper in a bar with green lighting. Based on that information, is the claim The man is inside. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A man reads the paper in a bar with green lighting. Based on that information, is the claim The man is inside. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive (or neither entailed nor contradicted) because we cannot conclude from this"
0,"Three firefighter come out of subway station. Based on that information, is the claim Three firefighters putting out a fire inside of a subway station. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: Three firefighter come out of subway station. Based on that information, is the claim Three firefighters putting out a fire inside of a subway station. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment (E)"
0,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. Based on that information, is the claim A person is near a pile of coconuts. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. Based on that information, is the claim A person is near a pile of coconuts. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  In conclusion, based solely upon this statement and its accompanying image(s), it can"
0,"Male in a blue jacket decides to lay in the grass. Based on that information, is the claim The guy in yellow is rolling on the grass ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: Male in a blue jacket decides to lay in the grass. Based on that information, is the claim The guy in yellow is rolling on the grass ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive (or neither entailed nor contradicted) because we don't know"
0,"During calf roping a cowboy calls off his horse. Based on that information, is the claim A first time roper falls off his horse. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: During calf roping a cowboy calls off his horse. Based on that information, is the claim A first time roper falls off his horse. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment"
0,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. Based on that information, is the claim A boy is on a playground. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. Based on that information, is the claim A boy is on a playground. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive (Based solely off this statement it cannot be determined if there's"
0,"A woman wearing a ball cap squats down to touch the cracked earth. Based on that information, is the claim An archeologist wearing a hat squats to examine the site for a dig ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: A woman wearing a ball cap squats down to touch the cracked earth. Based on that information, is the claim An archeologist wearing a hat squats to examine the site for a dig ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Entailment - The statement provides enough context and details (a person in an archaeological setting"
0,"Two children re laying on a rug with some wooden bricks laid out in a square between them. Based on that information, is the claim Two children are building a brick furnace. ""Entailment"", ""Contradiction"", or ""Inconclusive""?","Statement: Two children re laying on a rug with some wooden bricks laid out in a square between them. Based on that information, is the claim Two children are building a brick furnace. ""Entailment"", ""Contradiction"", or ""Inconclusive""?
Response:  Inconlusive (or neither entailed nor contradicted) because we cannot conclude from this"
